brand,city,dealer_name,address,link_maps
suzuki,karawang,Restu Mahkota Karya Karawang,"Jl. Raya Bedeng No. 147, Rengasdengklok, Karawang, 41352","http://maps.google.com/?q=-2.93031,104.78436"
suzuki,kebumen,Sumberbaru Anekamotor,"Jl. Raya Sruweng No. 1, Kebumen, 54362","http://maps.google.com/?q=-7.67197,109.6237"
suzuki,kediri,PT GARUDA MOTORS CENTRE,"Jl. Brawijaya No. 34, Kediri","http://maps.google.com/?q=-8.594587,116.134951"
suzuki,kendari,Setia Kawan Motor,"Jl. Pattimura No. 58 Kel. Watulondo, Kendari","http://maps.google.com/?q=-3.966177,122.49284"
suzuki,klaten,Solo Indonesia Utama,"Jl. Raya Klaten - Solo KM. 4, Klaten, 57437","http://maps.google.com/?q=-6.27091,106.96988"
suzuki,kolaka,Megahputra Kendari,"Jl. Pemuda Km 7, Kel Lalombaa, Kec, Kolaka, 93511","http://maps.google.com/?q=-4.058352,121.600302"
suzuki,kotamobagu,Sinar Galesong Prima,"Jl. Adampe Dolot, Mogolaing, Kotamobagu, 61321","http://maps.google.com/?q=0.733748,124.304497"
suzuki,kudus,REMAJA ADIDAYA MOTOR - KUDUS,"Jl. Raya Kudus Pati KM. 3, Kudus, 59113","http://maps.google.com/?q=-6.80625,110.89205"
suzuki,kupang,SURYA BATARA MAHKOTA,"Jl. Timor Raya No 1 Kupang, Kupang, 85228","http://maps.google.com/?q=-2.96125,104.68127"
suzuki,kutai kartanegara,Samekarindo Indah,"Jl. Belida, Tenggarong, Kutai Kartanegara","http://maps.google.com/?q=-0.451161,116.99757"
suzuki,lampung selatan,Centre Natar,"Jl. Raya Tanjung Sari No. 313. Ds Tanjung Sari, Lampung Selatan, 45362","http://maps.google.com/?q=-6.897898,107.802672"
suzuki,lampung tengah,PERSADA LAMPUNG RAYA - BANDAR JAYA,"Jln. Proklamantor Raya No. 152 Bandar Jaya, Lampung Tengah, 34161","http://maps.google.com/?q=-4.95175,105.215796"
suzuki,lombok timur,Cakra Mobilindo,"Jl. Raya Masbagik, Bagik Bontong, Selong, Lombok Timur","http://maps.google.com/?q=-8.666228,116.525595"
suzuki,madiun,United Motors Centre Jiwan,"Jl. Raya Solo No. 35, Jiwan, Madiun, 63161","http://maps.google.com/?q=-6.87914,107.63339"
suzuki,magelang,MPJM Tidar Baru,"Jl Jend Sudirman No 68, Magelang, 90113","http://maps.google.com/?q=-7.492702,110.222808"
suzuki,malang,United Motors Centre Dau,"Jl. Raya Sengkaling No. 98, Mulyoagung, Dau, Malang, 65151","http://maps.google.com/?q=-7.918432,112.590195"
suzuki,mamuju,Megahputra Sejahtera,"Jl. Jend. Sudirman, Mamuju, 91512","http://maps.google.com/?q=-2.685173,118.869601"
suzuki,manado,PT SINAR GALESONG PRIMA,"Jl. Pierre Tendean No 9 Boulevard, Manado, 95113","http://maps.google.com/?q=1.47106,124.83179"
suzuki,mataram,PT. Garuda Motors Centre,"Jl. Brawijaya No.34, Pocanan, Kec. Kota Kediri, Mataram, 64123","http://maps.google.com/?q=-7.813556,112.011273"
suzuki,mojokerto,UNITED MOTORS CENTRE - MOJOKERTO,"Jln. Raya Bypass Mojokerto KM. 50, Mojokerto","http://maps.google.com/?q=13.58784,100.35471"
suzuki,palu,Patrako Motor Abadi,"Jl. Emy Saelan No. 45, Palu","http://maps.google.com/?q=49.44448,8.42644"
suzuki,pamekasan,United Motors Centre,"Jl. Raya Sumenep no 99, Pamekasan, 69323","http://maps.google.com/?q=-7.149593,113.509949"
suzuki,pandeglang,Restu Mahkota Karya,"Jl. Raya Labuan KM 4, Cipacung, Pandeglang","http://maps.google.com/?q=-6.327061,106.11693"
suzuki,pasuruan,UNITED MOTORS CENTRE - PASURUAN,"Jl. Wahidin Sudirohusodo No.33, Jawa Timur, Pasuruan, 67126","http://maps.google.com/?q=-7.97967,110.60802"
suzuki,pontianak,DAYA KHARISMA UTAMA,"Jl. Ahmad Yani No. 77, Pontianak, 78111","http://maps.google.com/?q=-1.265333,116.837242"
suzuki,purwakarta,RESTU MAHKOTA KARYA - PURWAKARTA,"Jln. Basuki Rahmat No. 168, Purwakarta, 41112","http://maps.google.com/?q=-6.560527,107.438075"
suzuki,salatiga,SEJAHTERA SUNINDO TRADA - SALATIGA,"Jl. Diponegoro No. 170, Salatiga","http://maps.google.com/?q=-7.28472,110.10481"
suzuki,samarinda,Samekarindo Loa Janan,"Jl. Cipto Mangun Kusumo RT. 09, No. 13-14, Samarinda","http://maps.google.com/?q=-0.528878,117.12255"
suzuki,serang,DWI PERKASA MOBILTAMA - SERANG,"Jl. Raya Cilegon No. 18, Kepandean, Serang, 42115","http://maps.google.com/?q=-5.98283,106.04219"
suzuki,serpong,MOTOREKO MOBILINDO ( 2S ),"Jl. Raya Serpong km. 7 no. 32, Pakualam Serpong, , Serpong, 15320","http://maps.google.com/?q=-6.23951,106.64709"
suzuki,sidoarjo,United Motors Centre Sidoarjo,"Jl. Raya Waru 55, Sidoarjo, Sidoarjo, 61256","http://maps.google.com/?q=-7.349843,112.729823"
suzuki,sragen,Solo Indonesia Utama,"Jl. Raya Sukowati, Sragen","http://maps.google.com/?q=-7.427849,111.019183"
suzuki,subang,Lima Motor,"Jl. Otista No. 104-106, Subang, 41215","http://maps.google.com/?q=-6.569477,107.762815"
suzuki,tabanan,SEJAHTERA INDOBALI TRADA - TABANAN,"Jl. Ir. Soekarno, Kediri, Tabanan, 82121","http://maps.google.com/?q=-8.539347,115.131546"
suzuki,tegal,ARINDO GEDONG JEMBAR,"Jln. Dr. Wahidin Sudirohusodo No. 3, Pesurungan Kidul, Tegal, 52116","http://maps.google.com/?q=-6.870706,109.116751"
toyota,bandung,Merdeka Motor Kiara Condong,"Jl. Terusan Kiara Condong 47, Bandung, 40284","http://maps.google.com/?q=-6.9147444,107.6098111"
toyota,bekasi,Anzon Toyota Tambun,"Jl. Sultan Hasanudin KM.42, No.1 Tambun, Bekasi","http://maps.google.com/?q=-6.249028,106.996952"
toyota,bogor,Auto2000 Bogor Siliwangi,"Jl. Siliwangi 76, Bogor, 16720","http://maps.google.com/?q=-6.556497835,106.7785263"
toyota,denpasar,Auto2000 Denpasar,"Ji. HOS Cokroaminoto Ubung 81, Denpasar, 80116","http://maps.google.com/?q=-6.205970876,106.842391"
toyota,depok,Setiajaya Toyota Depok,"Jl Margonda Pondok Cina Beji   348, Depok, 16424","http://maps.google.com/?q=-6.209,106.849"
toyota,jakarta barat,Auto2000 Slipi,"Jl. Letjen S. Parman Kav. N4, Slipi, Jakarta Barat, 11500","http://maps.google.com/?q=-6.191958,106.796605"
toyota,jakarta pusat,Auto2000 Pramuka,"Jl. Raya Pramuka No.146 Kav. 29 30, Jakarta Pusat, 13120","http://maps.google.com/?q=38.70044,-9.3517"
toyota,jakarta selatan,Plaza Toyota Tendean,"Jl. Kapt. Tendean No. 9A, Jakarta Selatan, 12710","http://maps.google.com/?q=-6.239746,106.827239"
toyota,jakarta timur,Astrido Toyota Klender,"Jl. Pahlawan Revolusi No.9, Klender, Jakarta Timur, 13470","http://maps.google.com/?q=-6.21617,106.900571"
toyota,jakarta utara,Astrido Toyota Bandengan,"Jl. Bandengan Utara 41 A, Jakarta Utara, 14440","http://maps.google.com/?q=-6.136232,106.798897"
toyota,makassar,Hadji Kalla Bulukumba,"Jl. Lanto Dg. No.15, Pasewang, Makassar","http://maps.google.com/?q=-5.551728,120.188862"
